物料清单数据导出
导出时间: 2026-06-08T14:28:19.966529
总记录数: 72
================================================================================

record_id	物料名称	物料代号	生产商	物料级别	文件名称	质量标准	工艺名称
--------------------------------------------------------------------------------
recvfvUJYNOIsV	[{'text': '酵母蛋白胨', 'type': 'text'}]	[{'text': 'S030', 'type': 'text'}]	[{'text': '上海阿拉丁生化科技股份有限公司', 'type': 'text'}]	[{'text': '生化级', 'type': 'text'}]	[{'text': '酵母蛋白胨质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S030', 'type': 'text'}]	['发酵']
recvfvUJYNk43a	[{'text': 'Yeast extract（酵母提取物）', 'type': 'text'}]	[{'text': 'S003', 'type': 'text'}]	[{'text': 'OXOID LIMITED', 'type': 'text'}]	[{'text': '生化级', 'type': 'text'}]	[{'text': 'Yeast Extract(酵母提取物)(生化级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S003', 'type': 'text'}]	['发酵']
recvfvUJYNl3Yc	[{'text': '磷酸氢二铵', 'type': 'text'}]	[{'text': 'S005', 'type': 'text'}]	[{'text': '西陇科学股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '磷酸氢二铵(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S005', 'type': 'text'}]	['发酵']
recvfvUJYNNOiM	[{'text': '磷酸二氢钾', 'type': 'text'}]	[{'text': 'S006', 'type': 'text'}]	[{'text': '西陇科学股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '磷酸二氢钾(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S006', 'type': 'text'}]	['发酵']
recvfvUJYNJZNN	[{'text': ' 一水合柠檬酸(柠檬酸)', 'type': 'text'}]	[{'text': 'S007', 'type': 'text'}]	[{'text': '西陇科学股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '一水合柠檬酸(柠檬酸)(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S007', 'type': 'text'}]	['发酵']
recvfvULJkXV91	[{'text': '硫酸镁', 'type': 'text'}]	[{'text': 'S008', 'type': 'text'}]	[{'text': '西陇科学股份有限公司', 'type': 'text'}]	[{'text': 'AR级', 'type': 'text'}]	[{'text': '硫酸镁(AR级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S008', 'type': 'text'}]	['发酵']
recvfvULJkA8cA	[{'text': '食用葡萄糖', 'type': 'text'}]	[{'text': 'S009', 'type': 'text'}]	[{'text': '齐齐哈尔龙江阜丰生物科技有限公司', 'type': 'text'}]	[{'text': '食品级', 'type': 'text'}]	[{'text': '食用葡萄糖(食品级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S009', 'type': 'text'}]	['发酵']
recvfvULJkYApw	[{'text': '乳糖', 'type': 'text'}]	[{'text': 'S010', 'type': 'text'}]	[{'text': 'Leprino Foods Dairy Products Company', 'type': 'text'}]	[{'text': '食品级', 'type': 'text'}]	[{'text': '乳糖(食品级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S010', 'type': 'text'}]	['发酵']
recvfvULJkOn1C	[{'text': '单硫酸卡那霉素', 'type': 'text'}]	[{'text': 'S011', 'type': 'text'}]	[{'text': '古田福兴医药有限公司', 'type': 'text'}]	[{'text': '医药级', 'type': 'text'}]	[{'text': '单硫酸卡那霉素(医药级)质量标准', 'type': 'text'}]	[{'text': 'SPC-RM-S011', 'type': 'text'}]	['发酵']
